,sub-vol dist,water (rigid),water (flexible),dE (rigid),dE (flexible),dTStot (rigid),dTStot (flexible),dA (rigid),dA (flexible),dEsw (rigid),dEsw (flexible),dEww (rigid),dEww (flexible),dTStrans (rigid),dTStrans (flexible),dTSorient (rigid),dTSorient (flexible),Nsw (rigid),Nsw (flexible),Nww (rigid),Nww (flexible),E/water (rigid),E/water (flexible),dTS/water (rigid),dTS/water (flexible),A/water (rigid),A/water (flexible),Esw/water (rigid),Esw/water (flexible),Eww/water (rigid),Eww/water (flexible),dTStrans/water (rigid),dTStrans/water (flexible),dTSorient/water (rigid),dTSorient/water (flexible),Nsw/water (rigid),Nsw/water (flexible),Nww/water (rigid),Nww/water (flexible)
0,3.0,0.0170381006864027,0.3772907988210157,0.0505938654260573,0.448093683529181,0.0705308784770899,0.183302539671441,0.0341123694574267,0.4412918498213511,0.196155152239242,0.719561072264717,0.1741462976027621,0.8906204679709264,1.4444980090069353,0.8857742662213665,2.3082486702083793,1.9907588956350288,0.0165806127374714,0.0535771406478546,0.0503495577810758,0.9792594876838056,0.0025711135719763,0.0139175473773217,0.0027277222640877,0.0193142879431264,0.0020597329924044,0.0062062972052584,0.0088530362023432,0.0500259979285771,0.0084819937956825,0.0380775114076538,0.0647558395050207,0.0500599687250202,0.1034818250950378,0.1114399074333337,0.0007123903424387,0.0073920988223913,0.0007781187248743,0.0050705645642275
1,3.5,0.0137634195878058,0.3863518091956474,0.0510158232193699,0.5553824543726601,0.0855054261436085,0.3605716879484584,0.0438333990810653,0.3026178889602361,0.2145499195263199,1.1300855107994034,0.1791443774410715,0.8637299411563762,1.649249280627401,1.207158407529331,2.6307456453874436,2.5026349656849174,0.0159317832884458,0.1740379915420768,0.0397873880771277,1.1336816304495505,0.0021331827746349,0.0169011464108207,0.0028867152613307,0.0266111936034444,0.0016667708300783,0.0109010607282045,0.0077277907580368,0.0784770746778956,0.0066514096250343,0.0637477744709569,0.0626739379646755,0.0544609206220387,0.0999904776716263,0.1131351652891354,0.0005673402858955,0.011391300134313,0.0005319480707738,0.0095341819261014
2,4.0,0.0098117913756869,0.4729191056288063,0.0382223817775659,0.6657025884357068,0.0814570811838981,0.4398266546322544,0.0449932564391596,0.3539283055489475,0.1823323287982695,1.3299518127431345,0.152912190386346,1.0611007118200422,1.87536546502775,1.4058696034305598,3.010772238101879,2.905576233086133,0.0074878651830811,0.2005914890237119,0.0293807866640759,1.378085159911662,0.0012724852651408,0.017931584390399,0.0026463418146565,0.0265191292984894,0.0015497479633798,0.0101528936761892,0.0062462363668052,0.0777085208889604,0.0054698463186821,0.0627482507226296,0.060854611575459,0.0531521636436373,0.0977102244841858,0.1102340202421647,0.0003051638903933,0.0114199660682508,0.0005560744104883,0.0092251270316456
3,4.5,0.0188519022581282,0.6390520874457343,0.0620433253360101,0.7640764012027854,0.1068247997891856,0.4749824039569782,0.0574621872952113,0.5244239440805498,0.2390509474332846,1.431747817354717,0.1872921994337991,1.4947683139871537,2.1991685140411596,1.5259471141966228,3.5037475138084297,3.1722578282067104,0.0087694337759058,0.1289474166084762,0.0546191243979614,1.7130625260407155,0.0017471405209656,0.0178566295461936,0.0027544282528321,0.0244508275677941,0.0011953033087882,0.0086497471061297,0.0070467634414673,0.0629290808668774,0.005811343971062,0.0490378743931667,0.0606573882556774,0.0501603615915993,0.0966599225377301,0.1047644881090438,0.0003542156828826,0.0088067711875579,0.0005526922742358,0.0059524548507317
4,5.0,0.0085057609154035,0.8577313437930308,0.0607464543718396,0.9384114032335444,0.1233812022757109,0.4612728425441393,0.07288834247498,0.7828702019651793,0.3214824730350789,1.5330388365004812,0.2784640918839441,1.905798208551668,2.5299816994434465,1.6594396226060777,3.961670849013709,3.4643391690948797,0.0162219132271751,0.1385305894694382,0.0241274318722484,2.220078563643637,0.0014549484526949,0.0192314642903237,0.0027667670664513,0.0219544699321117,0.0015557855732716,0.0047416208990175,0.0076244159612392,0.0533453430488548,0.0066726470572028,0.037371954307341,0.0600023580265809,0.0477827685337507,0.0939500690193998,0.1001126209575995,0.000389510911272,0.0074348314540411,0.0001346291201783,0.004735900125636
5,5.5,0.0152652178169847,0.9993598879407763,0.0821813010970256,1.142868432046642,0.1128218885013006,0.5809343322829182,0.0742619855646208,0.9732322785279722,0.251032765229458,1.727922175032413,0.1982490321540091,1.8615270100696233,2.9576231316971406,1.8847906703182584,4.527442253913212,3.953429482417766,0.0063670416010892,0.2217863481343028,0.0238565864857065,2.7224521768928724,0.00163912133474,0.0211929049153248,0.0025473024947971,0.0223420952184435,0.0015801008670333,0.0040298883359219,0.005879041163319,0.0668067490509005,0.0047482068983984,0.0474827205412663,0.0601308092307928,0.04661860378379,0.092041711841697,0.0980604532928539,0.000215058131676,0.0090574899944741,0.0003344772040065,0.0078168487896338
6,6.0,0.0292023757595172,1.2270085587007946,0.1080737335109693,1.2192950506850255,0.1665844886986793,0.6045666002393777,0.0902299977834414,1.108981318246052,0.2282216576050622,1.8404493029471811,0.1323193957815689,2.1863061475065635,3.526054181988523,2.1059748596122296,5.265885943368765,4.366382988049147,0.017309367947733,0.2268268264971097,0.0530079401481523,3.3489431569899772,0.0018696590598288,0.0199352506568138,0.0028587584717845,0.0216534458862787,0.0013500000000001,0.004960531725531,0.0048175947058672,0.0664290916598292,0.0034611008003234,0.0490032444716671,0.0611391905818191,0.0455621742100835,0.0913141315733769,0.0948688206156269,0.0002410912690248,0.0086486541583069,0.0003082207001484,0.0081210663554732
7,6.5,0.0373284639216523,1.4214853351226482,0.082142417293077,1.172078907859876,0.2089593546003607,0.5118315396385328,0.1378728280653969,0.9632488800927818,0.2250481892839866,1.6099773520825575,0.1507290672655743,1.544219168787253,4.098209578336466,2.4856368453313435,6.028446603410264,4.945036325776587,0.0156521164703053,0.2842508759331272,0.0754932892299029,4.005577013365243,0.0012182851677666,0.0166665270827487,0.0029536788501798,0.0214942252419109,0.0017770674579202,0.0052839822813858,0.0039345226838842,0.0744977631795076,0.0030932133372919,0.0587188800557367,0.061084291147561,0.0463277522118222,0.0898550151633174,0.0927817895319442,0.0001515544456622,0.0105164454546201,0.000400585508974,0.0094790558601582
8,7.0,0.0276900365655233,1.6686860007858717,0.0872106456732779,1.0695676448336495,0.2172826888525626,0.5051331036655096,0.1344735679185701,0.8717256438381287,0.249142686276358,2.0859729397738467,0.2118480215124759,1.4621523764214912,4.554515430846487,2.7927092735941477,6.656241498057952,5.479424290983954,0.007958594018418,0.4308773991810202,0.0759888345005358,4.879447864448909,0.0011720708169729,0.012931568688678,0.0026079206276265,0.0201241265338399,0.0015624499992,0.0072756765149367,0.0033436506994601,0.0816515490897141,0.0031754920878505,0.0689048925603253,0.0591674992605738,0.0451446892640762,0.0864662605803558,0.0892189546845287,0.0001414213562373,0.0126017049937696,0.0002534141866589,0.0116243481000011
9,7.5,0.0221207057979635,1.8216606916406672,0.1025037804180899,1.0784950054213276,0.2100907705612047,0.5797603060047738,0.1133549155308217,0.8903971448004258,0.2511541794894165,2.7799393618330495,0.2224163255586269,2.0016028924886062,4.806556355002898,3.0717577018001836,7.070406073460351,6.002407692532117,0.0069261280669648,0.5983671119179261,0.0615988788453183,5.476515214303708,0.0012038350177658,0.0114159427994361,0.0022335509844191,0.0186251510060992,0.0011529174948797,0.0072009005513198,0.0029182614687514,0.0832127581864704,0.0028496436180685,0.0719492746662538,0.0554997789973077,0.0430191018618473,0.0816341342515494,0.084706614079126,0.0001346291201783,0.0134285784336987,0.0001386317063301,0.0126804167419687
10,8.0,0.0068595166557126,1.9255502244082712,0.0869433750710771,1.0167461896750585,0.1977414647336267,0.6323377830519048,0.1245538055169338,0.7200068397027564,0.217074179069625,2.555097425827193,0.2006278282510903,1.8569319223436107,5.087327519874139,3.5160590689897404,7.549289912048022,6.572682245097886,0.0062640217711945,0.680991675334581,0.0115569243313268,5.912606457815368,0.0008904879280483,0.0096125812740386,0.0019865170525318,0.0178188979737805,0.0012323757543868,0.0083484279957365,0.0022527760652137,0.0735900330802344,0.0021320104948148,0.0643258647435071,0.0519406632610712,0.0424268856387079,0.077085172050142,0.0803020936837888,7.905694150421394e-05,0.013012560038286,9.601432184832174e-05,0.0127384751834746
11,8.5,0.0198569100063423,2.2266724437768137,0.0925505537530704,0.6838909803241668,0.1852614014710025,0.632468467593444,0.1093545923818472,0.8082136640262595,0.168142657065365,1.942650013311389,0.1383610946039398,1.8099288671709572,5.380860093290733,3.5252094332996737,8.03656348425549,6.783412728763449,0.0054865745233248,0.4717420084113771,0.0416808934045253,6.597899462139451,0.0008370334521389,0.0055924614437653,0.0017823351957474,0.0134575954390076,0.0011132020256898,0.0081507955900022,0.0018988071913704,0.0576580152168803,0.0016479153497677,0.0527145304327943,0.0486195433956346,0.0380245377190834,0.0726171069290838,0.0738978010498282,5.4486236794263566e-05,0.0100603413833726,0.0001634587103827,0.0105545606256252
12,9.0,0.0322594462909703,2.316267157923498,0.0868876888215469,0.7223749186710459,0.1895607752147044,0.8030273500946281,0.1171925198924818,0.7098368355650476,0.198638844703149,2.945806227185523,0.1445533049388762,2.615149808925865,5.781840788124921,4.0685752782969065,8.657192777793217,7.669004192026822,0.0089186952521087,0.6201274247836086,0.0659550036009329,7.0622249238465855,0.000685907245916,0.0052889477923306,0.0016009274655648,0.0147925234493645,0.0010950884667459,0.0099581232544089,0.0019834865136925,0.0615343095354128,0.0016797972347874,0.0569968255694998,0.046091668173326,0.0378591530379378,0.0690080282920038,0.0721555307997938,5.448623679425799e-05,0.0100795197678262,0.0001920286436967,0.011071437067969
13,9.5,0.0304310183036969,2.4733046813676256,0.0824097337621593,1.345432754904068,0.2150766723752252,1.0321591883038217,0.1653651012721534,0.9789340633917856,0.225989594616655,4.084042269825178,0.2017423058477074,3.380688962396386,6.355933992587163,4.695735678050751,9.475016632538171,8.740629284560624,0.0036298028527732,0.8183812073042429,0.0646058965962144,7.477693436147276,0.0005905505905509,0.0091487277120919,0.0014757942776688,0.0156735196669414,0.0011968709203586,0.0072493426426122,0.0017133209710968,0.0638423877118486,0.0016863421954041,0.0556047701977986,0.0445037147325928,0.0378589879520042,0.066344338492444,0.0711732525250884,4.330127018922317e-05,0.0103987003394655,0.0001883314896665,0.0098174589380347
14,10.0,0.0264728634643103,2.626722934570756,0.0611623658796815,1.64450106733585,0.228960382763049,0.9281241363632344,0.2285877662408917,1.4431109518047294,0.2656434037742175,5.035277639440547,0.2840211655845381,4.312186533299405,6.899380302064727,5.087624156445718,10.301116324942653,9.552673739685398,0.0040346158429272,1.011638831611856,0.0447869958805027,7.8370474460650765,0.0003816084380619,0.0100281089318973,0.0013744885412399,0.0131070830088162,0.0013858661551535,0.004901068123379,0.0016527911997587,0.0615578031203193,0.0018358836428269,0.0527043404284694,0.0427347103506037,0.0359591695538147,0.0637956148081511,0.0679508680500109,6.123724356957838e-05,0.0103618516081827,0.0001767766952966,0.0086427263493644
